CustomerID,Age,Annual_Income_k$,Spending_Score
1,64,26.923765642438028,79.464504664189
2,21,27.50848692159341,85.89866926964496
3,29,24.093127879238256,79.09319146500414
4,62,31.11626493457745,82.97226192531042
5,19,23.181733521802975,82.10132601312601
6,44,23.20519099339947,78.19623642058912
7,48,25.937115848185766,72.58989747581269
8,68,18.31942196110083,77.82226976346959
9,68,21.077321938424177,81.2170746857316
10,53,21.483237877550962,74.53017128494132
11,53,30.67643327342258,79.12557214824733
12,43,25.261535612155615,74.48197400225605
13,60,22.89161477395095,80.42960134266451
14,44,20.542221043051725,81.45507216825591
15,22,22.67373635685663,78.87027496485784
16,37,22.669600311532662,87.17384256114643
17,28,24.947725473369964,75.90350318705222
18,27,28.185702746083294,75.27169287533916
19,57,25.80892522508243,72.4102302461534
20,55,19.85595755195135,80.76244028803492
21,23,27.860068766052972,80.66370649911694
22,25,24.552096128292852,78.83383040150117
23,40,19.273708954305512,77.21205536902343
24,64,23.215953711455292,84.09421677705157
25,43,26.33082791295093,73.1717748395852
26,63,26.255171816238835,78.50858274102804
27,60,22.37829236613361,82.36901207995064
28,29,28.99304398057462,83.60683239199109
29,43,21.749724508713285,78.80242561788702
30,30,26.282977753033528,83.77827003081869
31,57,23.14416615689356,79.28094587530713
32,35,20.715183070347837,75.36711166631257
33,42,28.146898978496214,85.25269504411467
34,50,24.721105998360997,83.88666620090707
35,64,26.400610302398135,77.50146193410494
36,57,26.39967916152663,85.95679000778074
37,60,24.86124634716658,86.05983882171674
38,29,14.853770840552004,83.18321471165142
39,61,25.33713184562262,78.8419495112521
40,53,25.35538795935706,72.3021786943112
41,65,24.149214436775374,81.3830910421863
42,21,30.72385902274301,77.99274807579089
43,22,21.86871774047945,78.05670332635482
44,54,28.545337156943134,81.27324757275916
45,25,22.948247553326812,81.98787622059865
46,59,25.37597973191559,83.75154591672113
47,66,22.280960059259623,78.73096996304427
48,45,23.481371653007006,74.33183097895869
49,48,26.146868901545428,81.01106272159235
50,26,25.019804332417806,79.09144793920352
51,68,19.518292687329513,78.37084767026973
52,46,23.672672384988296,76.89279349726391
53,31,24.375343124736336,81.56488223946354
54,57,32.30516658323961,80.67613696171503
55,58,25.99748837407848,79.71167220804448
56,39,17.568631037964646,79.89731220194176
57,28,25.23327060004017,89.5400956793323
58,40,24.25498918694232,81.16788783495119
59,18,24.865561894014206,75.47372942322119
60,63,29.42613372828256,82.91222411305911
61,54,28.063653557215748,16.477957532330027
62,38,30.43299900441002,14.570654179942327
63,43,27.27288775089213,28.48359815936839
64,63,21.16366930895535,17.806738324253395
65,53,25.38594807741127,18.050047176387075
66,40,18.994306355908016,20.26554325959018
67,18,20.885715408124504,21.83421559673995
68,68,21.439085252712974,26.002870138346832
69,57,21.966473042919624,18.752661111281107
70,32,28.15073863472573,15.232883001010315
71,38,25.88094853865122,25.06254211845154
72,64,18.774244203236734,20.71508385924163
73,26,26.006521734089993,23.02798696207758
74,26,20.209310496689763,14.885893528135146
75,27,27.02147099132767,21.15021669351098
76,69,25.970154637733607,21.341788145705166
77,43,22.36627557831717,20.899514701199667
78,58,26.135064808317612,17.233328854644224
79,52,32.226113609441924,21.83514701157617
80,69,20.386101395055487,22.542821192131203
81,42,21.225074123355956,23.04836556235078
82,43,29.487221382485217,16.82151104849693
83,28,28.73113970469702,21.59869365565712
84,55,28.183825309239264,27.346247633021832
85,19,24.04961591336367,17.080792388009186
86,24,21.55492542784916,16.84038035266413
87,35,24.701386363475052,21.321275916990633
88,44,26.07161885785398,23.203666947778263
89,51,25.050356110712322,25.629513273975256
90,44,23.974988492409402,30.535169881068505
91,34,27.423199218159635,16.680243058923892
92,60,20.85245118943085,21.868607629241325
93,61,24.134532353935857,22.76531202280254
94,68,26.832841438772096,19.717934834157536
95,41,21.720382032248008,14.13302192674312
96,42,23.270655026811824,23.31681826812692
97,24,25.82918150554347,15.175274456323704
98,69,25.67072684170241,21.492327794694063
99,23,21.576834869171428,20.595374775221
100,41,25.225441397145435,15.573295071292264
101,50,26.385704488112413,22.171909131434987
102,66,29.194639427907088,24.08135779773038
103,46,19.66430948132209,16.367819238752425
104,60,26.994723012608627,21.989884431398327
105,39,26.994771111565985,34.921564900714614
106,43,27.21104944042248,24.398026812944824
107,45,28.69483294226168,22.522827468172565
108,67,23.77896746593655,22.93947515125445
109,38,22.00686081456681,19.082805480023904
110,66,23.120195062401734,20.317097178328293
111,24,33.96463408088283,12.768113006139375
112,34,27.657874288485623,13.753978288718093
113,37,23.17221574325293,24.217487526897234
114,58,25.248955443450622,15.825912423617787
115,66,22.22964064655575,22.63207076374405
116,37,22.171302198733922,20.838340512594534
117,39,25.1764989770035,17.476362705339707
118,45,33.303459753156815,22.455157816281744
119,57,17.156656488179678,20.722134455930508
120,66,22.43691204320655,23.301460109417828
121,24,51.4557395105723,49.486883034767175
122,18,57.2583717671459,53.871774932075844
123,49,49.632111281349054,48.5040649962039
124,30,52.87597999729862,47.07822284855482
125,47,62.89535138486756,51.81113327070574
126,40,49.3611555327362,54.10480341514958
127,68,64.49057103078536,54.617325013998794
128,36,48.20517094631057,47.83443939209895
129,49,60.66579890206733,46.835205938550914
130,47,56.9848208221401,53.4642688023084
131,46,50.85464091027094,49.73379451492187
132,66,40.50461178871125,45.41879919733171
133,62,53.87048088906687,44.419743967891215
134,46,62.30036528566041,43.60421332288961
135,47,53.032061229243084,50.58468963645853
136,33,61.445570097013075,43.57862924728739
137,57,60.201826437564414,50.0457636401154
138,36,50.61055987150532,52.066589562183
139,35,55.89022202176539,47.31574852286059
140,18,55.3121644140178,48.27682520952431
141,31,55.50766500121421,52.9611383964337
142,68,62.092882828717585,44.46432080204071
143,64,64.53921524801439,41.26999796443941
144,67,54.32119641905834,52.63103453206459
145,19,56.25663383476033,47.215203088249346
146,45,54.069249001141806,47.79523279426384
147,66,52.3642806798602,53.79953608553077
148,67,56.596621791275936,46.90121408547062
149,47,59.02313294803818,51.37428523626643
150,55,58.635229908116855,52.815785782271334
151,68,51.292621605140134,47.494794228826066
152,21,58.341998600413,52.72965880990763
153,18,54.90652523011613,50.52470400940122
154,25,60.71389111889621,47.35441232203825
155,46,57.44669386921664,49.09576696921365
156,56,54.026500064319976,54.91387946629317
